source,tibschol_refs,zotero_refs,xml_id,status,location,xml_content
3_061_01.xml,3_061_01,,ex61012023-09-09-11.44,reviewed,14b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""14b1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex61012023-09-09-11.44"" status=""reviewed"" ana=""corpusmd:colophon"">  <milestone unit=""section"" n=""Post-colophon annotation (ku_14b2 p. 34)""/>
         <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4140"">shAkya'i btsun pa rtsed pa bsod nams blo gros</rs> kyi dpe'o ||</seg></TEI>"
2_056_19 ral gri spring yig bdud.xml,2_056_19,,ex56192024-12-1911-24-21,unreviewed,1b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex56192024-12-1911-24-21"" status=""unreviewed""> <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4447""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3786"">lo tsA ba chen po</rs>s mdzad pa'i springs yig bdud rtsi'i thig le</rs> la don gsum ste | </seg></TEI>"
2_056_19 ral gri spring yig bdud.xml,2_056_19,,ex56192024-11-0513-47-41,unreviewed,1b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex56192024-11-0513-47-41"" status=""unreviewed"" ana=""corpusmd:colophon""><milestone n=""Colophon"" unit=""section""/>
         <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5014"">theg chen lam 'bras bdud rtsi'i thig le mchog | 'di las legs pa gzhan 'ga' ma mthong bas | bsdus don</rs> <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5688"">dpal ldan gser zangs dgon pa</rs> ru || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">bcom ldan ral gri</rs>s legs par bkod pa yin ||</seg></TEI>"
2_056_22 ral gri dgyes pa rdo rje rgyan me tog.xml,2_056_22,,ex56222024-12-1912-07-40,reviewed,86a2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""86a2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex56222024-12-1912-07-40"" status=""reviewed""> <milestone n=""colophon"" unit=""section""/>
      <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5018"">dgyes pa'i rdo rje rgyan gyi me tog</rs> ces bya ba <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db: 4006"">mang du thos pa'i dge slong bcom ldan ral gri</rs>s <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5680"">gtsang me tog mdangs can gyi dgon pa</rs>r sbyar ba 'di rdzogs so ||</seg></TEI>"
3_088_07_zha lu rin chen_bsdus chos phreng.xml,3_088_07,,ex88072025-05-2614-58-29,reviewed,10b6 - 10b7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex88072025-05-2614-58-29"" status=""reviewed"" ana=""corpusmd:colophon"">    <milestone unit=""section"" n=""Colophon (10b5-6)""/>
            bsdus <lb n=""10b6""/> <rs type=""work"" ana=""corpusmd:named_reference"" ref=""d:5306"">chos nor bu'i phreng ba</rs> ces bya ba 'di ¦ <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5959"">dge ba'i <abbr>bshes gnyen</abbr> daM pa <abbr>dpal ldan</abbr> chos 'byor</rs> gyis bskul ba'i ngor <choice><reg>rin chen bsod nams 'phel</reg><orig>°ie °o° °M °e°</orig></choice> gyis ¦ sa pho spre'u'i lo ¦ nag pa'i zla ba'i gnaM gang la ¦ <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5719"">'de re lung gi brag phug</rs> du sbyar ba rdzogs s+ho | <lb n=""10b7""/> 'dis kyang gzhan la phan <abbr>thogs</abbr> par gyur cig |</seg></TEI>"
1_011_15_sPar phu_rten brel me long.xml,1_011_15,,ex11152024-09-0412-06-12,reviewed,26a7 - 26b1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""26a7""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex11152024-09-0412-06-12"" status=""reviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4544"">rten cing 'brel par 'byung <abbr>ba'i</abbr> rab tu byed pa | 
            'khor 'das kyi chos <abbr>thams cad</abbr> blta' ba'i me long</rs> zhes bya ba 'di ni | 
            lung rigs <lb n=""26a8""/> kyi gzhung 'grel mang du thos shing legs par sbyangs pas tshul <abbr>bzhin</abbr> du rtogs shing | 
            <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3854"">rigs par smra ba'i btsun pa blo gros seng ghe</rs>s | 
            <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6812"">dge ba'i bshes gnyen bsod <pb n=""16b""/><lb n=""26b1""/> nams 'bum</rs> gyi don du | 
            nye bar sbyar pas 'di re shig yongs su rdzogs s+ho || <note type=""gloss""><abbr>zhus so</abbr></note></seg></TEI>"
3_089_03_legs_dpyad_blo_mun_sel_W1PD153536-I1KG13978-1-532-any-4.xml,3_089_03,,ex8932024-11-01-10-10,unreviewed,7b6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""7b6""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex8932024-11-01-10-10"" status=""unreviewed"">
               || 2 pa <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref="""">'ga' zhig</rs> na re chos nyid mngon sum du mthong pa de sa bon spangs pa la ltos sa mi ltos |</seg></TEI>"
3_089_03_legs_dpyad_blo_mun_sel_W1PD153536-I1KG13978-1-532-any-4.xml,3_089_03,,ex8932024-11-01-10-16,unreviewed,12b5 - 12b6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""12b5""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex8932024-11-01-10-16"" status=""unreviewed"">
               || chos bcu drug mi dmigs par rtogs pa de nyid rang gi laM rgyud la yon tan yang ldan du skye ba yin gyi lam shes ma yin ces pa la <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref="""">blo ldan</rs> na re de ltar na laM shes mi srid par 'gyur ces pa yang med de de las ldog pa gzhan laM 3 mi dmigs par shes pa yod pas so de nyid la ma shes ma yin <lb n=""12b6""/>nyan rang gi lam yon tan yang ldan du skye ba yin ce na | </seg></TEI>"
3_089_03_legs_dpyad_blo_mun_sel_W1PD153536-I1KG13978-1-532-any-4.xml,3_089_03,,ex8932024-11-01-10-35,unreviewed,22b5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""22b5""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex8932024-11-01-10-35"" status=""unreviewed"">
               || mdo dang bstan bcos kyi brjod bya dka' ba'i gnad 'ga' bstan pa'i legs spyad blo'i mun sel ces bya ba shag kya'i dge slong <rs type=""person"" ana=""corpusmd:named_reference"" ref="""">nyi ma brtson 'grus</rs> kyis sbyar ba'o ||</seg></TEI>"
1_011_05_Bya Chad_blo sbyong don bdun rtsa_etext.xml,1_011_05,,ex115-2023-06-271-14,unreviewed,1a1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1a1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" xml:id=""ex115-2023-06-271-14"" type=""excerpt"" status=""unreviewed""><rs type=""work"" ref=""db:4528"" ana=""corpusmd:named_reference"">blo sbyong don bdun ma'i rtsa ba</rs> ni |</seg></TEI>"
1_011_05_Bya Chad_blo sbyong don bdun rtsa_etext.xml,1_011_05,,ex115-2023-06-2712-54,finalized,1b2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex115-2023-06-2712-54"" status=""finalized"">
            <lg>
         <l>bdag 'dzin 'dul ba'i gdams ngag zhus ||</l>
         <l>da ni shi yang mi 'gyong ngo ||</l>
         </lg>
        zhes <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3874"">rnal 'byor dbang phyug 'chad kha ba</rs>s gsungs so ||</seg></TEI>"
1_011_05_Bya Chad_blo sbyong don bdun rtsa_etext.xml,1_011_05,,ex1152023-06-271-25,finalized,1b6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b6""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex1152023-06-271-25"" status=""finalized""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5635"">smon lam thams cad kyi don bsdus pa</rs> 'di |<rs type=""person"" ref=""db:5636"" ana=""corpusmd:named_reference"">shar tsong kha pa</rs>s mdzad pa'o ||</seg></TEI>"
1_011_05_Bya Chad_blo sbyong don bdun rtsa_etext.xml,1_011_05,,ex11052023-09-15-111356,finalized,1b6 - 1b7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1b6""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex11052023-09-15-111356"" status=""finalized"" ana=""corpusmd:colophon""> 
         <milestone unit=""section"" n=""Carver's colophon (1b6–1b7)""/>
         <rs type=""person"" ref=""db:4593"" ana=""corpusmd:unnamed_reference"">brkos mkhan mkhas pa <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5638"">chu shul</rs> gyi || gnas pa dpal 'phel</rs> zhes <lb n=""1b7""/> bya bas || dad pa'i sems kyis kun blangs te || spar du brkos nas phul pa yi || dge bas 'gro ba ma lus pa || byang chub sems gnyis stobs rgyas nas || kun mkhyen rgyal ba'i sku thob ste || 'gro kun srid mtsho las sgrol shog ||</seg></TEI>"
4_113_03 man ngag sems spel.xml,4_113_03,,ex113032025-02-2417-16-21,unreviewed,24b6,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""24b6""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex113032025-02-2417-16-21"" status=""unreviewed"">   <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5963"">btsun pa ***</rs>gyis <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5733"">chos gra chen po dpal ldan du sa skya</rs>r stag gi* lo'i zla ba gr** pa'i dus sbyar ba'o</seg></TEI>"
2_056_14_ral gri.xml,2_056_14,,ex56142024-12-0517-45-01,reviewed,3b2 - 3b3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""3b2""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex56142024-12-0517-45-01"" ana=""corpusmd:colophon"" status=""reviewed""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:5002"">gcod kyi gdams pa nam mkha' sgo 'byed</rs> ces bya ba labs kyi sgron ma'i zab mo'i gdan |
        <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">bcom ldan ral gri</rs>s bkod | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4221"">skyi <lb n=""3b3""/> ston grags pa rgyal mtshan</rs> la gnang | ithi || mang+ga laM || ||</seg></TEI>"
2_046_01_I_R_M_thal phreng mdor bsdus_etext.xml,2_046_01,,ex46012024-12-0916-14-30,unreviewed,9a1 - 9a2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""9a1""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex46012024-12-0916-14-30"" status=""unreviewed"" ana=""corpusmd:colophon"">
         <milestone unit=""section"" n=""Closing verse (9a1–9a2)""/>
       <l> <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4779"">mdor bsdus thal 'gyur phreng ba</rs> 'di ||</l>
      <l>   <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5985"">blo gsal bsod nams <choice><reg>rgya</reg><orig>(rgya)</orig></choice> mtsho khyed</rs> ||</l>
         <l>spro ba bskyed phreng phul ba lags || </l>
         <l>dge bas <lb n=""9a2""/> kun mkhyen thob gyur cig ||</l></seg></TEI>"
2_046_01_I_R_M_thal phreng mdor bsdus_etext.xml,2_046_01,,ex46012024-12-0916-14-301,unreviewed,10a4,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""10a4""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex46012024-12-0916-14-301"" status=""unreviewed"" ana=""corpusmd:colophon""><milestone unit=""section"" n=""Colophon (10a4)""/>
         'di rnams <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4005"">snar thang pa mkhas pa bsam gtan bzang po</rs>s mdzad pa'i <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:6010"">tshad ma rnam nges kyi Ti kA</rs> nas bshus pa'o ||</seg></TEI>"
2_046_05_rnam nges grel.xml,2_046_05,,ex46052024-09-1216-47-23,unreviewed,21b9 - 22a1,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""21b9""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex46052024-09-1216-47-23"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3786"">lo ts+tsha ba chen po</rs> ni rtags kyi 'brel pa'i rtsa ba °° gshis la rten pa dang khas blangs la rten pa °° stobs don sgrub du myur pa dang tha snyad du bsgrub pa    <pb n=""22a""/><lb n=""22a1""/> 2 phyi ma <abbr>grags</abbr> rtags yin la khas blangs la rten pa ni yid ches su bzhed do </seg></TEI>"
2_046_05_rnam nges grel.xml,2_046_05,,ex46052023-09-12-091,finalized,64a7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex46052023-09-12-091"" status=""finalized""> <lb n=""64a7""/><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4789"">dge ba'i bshes gnyen tshad ma rab bsal</rs> gyi phyag dpe' |
          <note type=""translation"">This is the book of the Spiritual friend Tshad ma rab bsal</note></seg></TEI>"
2_046_05_rnam nges grel.xml,2_046_05,,ex46052023-09-12-092,finalized,64a7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""64a7""/><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" status=""finalized"" xml:id=""ex46052023-09-12-092"">bris pa'i mchog gyur <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4788"">dkon mchog nor bu</rs>s bris pa dge'o ||<note type=""translation"">Written by the best scribe, dKon mchog nor bu. May it be virtuous!</note></seg></TEI>"
X_002_Tshad bsdus.xml,X_002,,exX0022024-11-01-13-51,unreviewed,11.1 - 11.5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""exX0022024-11-01-13-51"" status=""unreviewed"">
         <lb n=""11.1""/>lan gnyis pa ni 'di <lb n=""11.2""/> la <rs type=""person"" ana=""corpusmd:named_reference"" ref=""3834"">rgya</rs>na re <note type=""gloss"">'di dag thams cad ma rungs pa || rigs pa'i rnam dbye med pa'i skyon || de phyir rnam <lb n=""11.3""/> dbye shes par bya ||</note> don dam dpyod pa'i rigs shes dang | tha snyad kun rdzob pa <lb n=""11.4""/> 'jal ba'i tshad ma gnyis las snga ma ni dgag bya la brtag bzod dpyad <lb n=""11.5""/> bzod 'gegs la gzhal bya'ang brtag bzod dpyad bzod 'jal ba'o ||</seg></TEI>"
X_002_Tshad bsdus.xml,X_002,,exX0022024-11-01-13-46,unreviewed,11.13 - 11.19,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""exX0022024-11-01-13-46"" status=""unreviewed""><lb n=""11.13""/>
         de la <rs type=""person"" ana=""corpusmd:named_reference"" ref=""3831"">phya pa </rs><lb n=""11.14""/> na re gzhal bya'i ngos nas khyad 'byed pa ni bden yang | dgag bya'i ngos nas <lb n=""11.15""/> don dam du dpyod pa'i rigs shes dang tha snyad kun rdzob pa'i bye brag 'byed <lb n=""11.16""/> pa ni ma yin te | de lta na don dam pa stong pa nyid spros bral chos can dngos <lb n=""11.17""/> por med de rim dang cig car gyis don byed pas stong pa'i phyir zhes pa'i <lb n=""11.18""/> rtags la rten pa'i rjes dpag 'di dgag bya brtag mi bzod <lb n=""11.19""/> dpyad mi bzod 'gogs pas tha snyad pa'i tshad mar thal lo ||</seg></TEI>"
